OrderNumber,WarehouseCode,Order Date,Ship Date,Category,Sales Channel,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Sales,Quantity,Discount,Profit
SO - 0001567,WARE-PUJ1005,08-08-2014,14-08-2014,Technology,Wholesale,USD,20,3,294,14,95.976,3,0.2,-10.7973
SO - 0001568,WARE-NMK1003,16-05-2015,16-05-2015,Technology,Wholesale,USD,2,25,177,11,255.968,4,0.2,31.996
SO - 0001569,WARE-UHY1004,09-12-2017,13-12-2017,Furniture,In-Store,USD,28,24,251,1,872.94,3,0,226.9644
SO - 0001570,WARE-NMK1003,09-12-2017,13-12-2017,Office Supplies,Online,USD,22,6,102,2,41.54,2,0,19.5238
SO - 0001571,WARE-XYS1001,09-12-2017,13-12-2017,Office Supplies,Online,USD,20,5,30,16,12.96,2,0,6.2208
SO - 0001572,WARE-NMK1003,24-09-2015,27-09-2015,Office Supplies,Online,USD,11,19,125,46,6.848,2,0.2,0.5992
SO - 0001573,WARE-NMK1003,11-07-2017,15-07-2017,Office Supplies,Online,USD,10,3,89,21,8.67,3,0,4.0749
SO - 0001574,WARE-NMK1003,01-12-2015,02-12-2015,Furniture,In-Store,USD,5,49,161,7,6.688,4,0.6,-4.0128
SO - 0001575,WARE-NMK1003,19-11-2016,25-11-2016,Office Supplies,Online,USD,8,50,122,7,17.28,6,0,5.0112
SO - 0001576,WARE-UHY1004,19-11-2016,25-11-2016,Office Supplies,Online,USD,11,29,236,21,17.712,3,0.2,6.4206
SO - 0001577,WARE-NMK1003,19-03-2017,24-03-2017,Office Supplies,Online,USD,8,1,158,28,28.91,7,0,13.2986
SO - 0001578,WARE-PUJ1005,13-11-2016,17-11-2016,Office Supplies,Online,USD,20,31,309,11,52.136,7,0.2,5.8653
SO - 0001579,WARE-NMK1003,19-11-2017,20-11-2017,Technology,Wholesale,USD,1,38,171,24,31.968,4,0.2,2.3976
SO - 0001580,WARE-NMK1003,02-12-2016,08-12-2016,Office Supplies,Online,USD,12,20,165,40,25.92,4,0,12.4416
SO - 0001581,WARE-UHY1004,02-12-2016,08-12-2016,Office Supplies,Online,USD,20,29,229,9,40.46,7,0,19.8254
SO - 0001582,WARE-UHY1004,02-12-2016,08-12-2016,Office Supplies,Online,USD,3,9,247,12,33.87,3,0,8.8062
SO - 0001583,WARE-MKL1006,25-08-2017,28-08-2017,Office Supplies,Online,USD,1,34,367,14,9.728,2,0.2,1.7024
SO - 0001584,WARE-XYS1001,25-08-2017,28-08-2017,Office Supplies,Online,USD,5,11,14,4,3.424,1,0.2,1.07
SO - 0001585,WARE-NMK1003,14-10-2016,18-10-2016,Technology,Wholesale,USD,9,30,202,40,177,3,0,30.09
SO - 0001586,WARE-XYS1001,27-11-2014,03-12-2014,Office Supplies,Online,USD,28,43,20,15,3.76,2,0,1.316
SO - 0001587,WARE-UHY1004,03-11-2015,07-11-2015,Technology,Wholesale,USD,17,28,224,2,1212.848,7,0.2,106.1242
SO - 0001588,WARE-NBV1002,03-11-2015,07-11-2015,Technology,Wholesale,USD,26,49,63,8,89.97,3,0,37.7874
SO - 0001589,WARE-NMK1003,03-11-2015,07-11-2015,Furniture,In-Store,USD,3,19,182,41,42.6,3,0,16.614
SO - 0001590,WARE-NMK1003,29-11-2014,06-12-2014,Office Supplies,Online,USD,22,32,165,36,5.04,2,0.2,1.764
SO - 0001591,WARE-MKL1006,30-04-2017,05-05-2017,Office Supplies,Online,USD,1,7,364,31,62.96,4,0,28.332
SO - 0001592,WARE-UHY1004,24-11-2017,28-11-2017,Office Supplies,Online,USD,21,37,221,45,5.88,1,0,2.8812
SO - 0001593,WARE-PUJ1005,24-11-2017,28-11-2017,Furniture,In-Store,USD,19,36,276,45,977.292,6,0.1,173.7408
SO - 0001594,WARE-NMK1003,30-10-2017,03-11-2017,Furniture,In-Store,USD,9,44,105,17,9.64,2,0,3.6632
SO - 0001595,WARE-MKL1006,17-12-2014,19-12-2014,Office Supplies,Online,USD,23,41,331,19,40.05,3,0,11.214
SO - 0001596,WARE-PUJ1005,04-09-2017,08-09-2017,Office Supplies,Online,USD,4,34,311,5,10.192,7,0.2,3.185
SO - 0001597,WARE-NMK1003,04-09-2017,08-09-2017,Office Supplies,Online,USD,8,14,120,23,16.784,1,0.2,-0.2098
SO - 0001598,WARE-PUJ1005,04-09-2017,08-09-2017,Office Supplies,Online,USD,12,23,318,6,13.12,5,0.2,3.772
SO - 0001599,WARE-NMK1003,17-10-2016,20-10-2016,Office Supplies,Online,USD,4,30,188,15,18.16,5,0.2,6.583
SO - 0001600,WARE-NBV1002,12-11-2017,18-11-2017,Office Supplies,Online,USD,24,4,78,11,16.056,3,0.2,5.8203
SO - 0001601,WARE-PUJ1005,12-11-2017,18-11-2017,Office Supplies,Online,USD,13,6,326,41,223.056,9,0.2,69.705
SO - 0001602,WARE-NMK1003,12-11-2017,18-11-2017,Office Supplies,Online,USD,1,48,179,42,540.048,3,0.2,-47.2542
SO - 0001603,WARE-MKL1006,24-11-2016,01-12-2016,Technology,Wholesale,USD,7,13,362,24,33.52,2,0.2,3.352
SO - 0001604,WARE-XYS1001,24-11-2016,01-12-2016,Furniture,In-Store,USD,1,44,11,21,9.94,2,0,3.0814
SO - 0001605,WARE-MKL1006,01-08-2015,07-08-2015,Office Supplies,Online,USD,20,29,357,8,6.72,4,0,3.36
SO - 0001606,WARE-PUJ1005,01-08-2015,07-08-2015,Furniture,In-Store,USD,3,10,312,27,1004.976,6,0.2,-175.8708
SO - 0001607,WARE-NMK1003,24-12-2017,29-12-2017,Office Supplies,Online,USD,16,44,106,5,17.88,3,0.2,5.5875
SO - 0001608,WARE-NBV1002,17-09-2016,23-09-2016,Technology,Wholesale,USD,11,11,76,45,396,4,0,190.08
SO - 0001609,WARE-NMK1003,10-12-2017,10-12-2017,Office Supplies,Online,USD,18,16,163,45,34.5,3,0,15.525
SO - 0001610,WARE-UHY1004,12-09-2017,15-09-2017,Furniture,In-Store,USD,15,3,252,20,8.36,2,0,3.0096
SO - 0001611,WARE-NMK1003,24-06-2017,01-07-2017,Office Supplies,Online,USD,25,23,104,8,385.6,8,0,111.824
SO - 0001612,WARE-MKL1006,24-06-2017,01-07-2017,Office Supplies,Online,USD,26,17,355,6,35.82,9,0,11.8206
SO - 0001613,WARE-NBV1002,18-08-2017,22-08-2017,Office Supplies,Online,USD,2,32,68,25,200.064,3,0.2,12.504
SO - 0001614,WARE-UHY1004,18-08-2017,22-08-2017,Office Supplies,Online,USD,10,19,241,28,21.38,5,0.8,-33.139
SO - 0001615,WARE-XYS1001,18-08-2017,22-08-2017,Office Supplies,Online,USD,12,47,19,1,6.744,4,0.8,-11.4648
SO - 0001616,WARE-PUJ1005,11-12-2017,17-12-2017,Furniture,In-Store,USD,20,37,322,28,63.686,1,0.3,-9.098
SO - 0001617,WARE-XYS1001,10-12-2017,14-12-2017,Furniture,In-Store,USD,20,4,21,14,1669.6,4,0,116.872
SO - 0001618,WARE-NMK1003,03-02-2014,06-02-2014,Office Supplies,Online,USD,1,18,179,2,83.84,2,0.2,27.248
SO - 0001619,WARE-NMK1003,03-02-2014,06-02-2014,Office Supplies,Online,USD,25,20,174,33,13.272,3,0.2,4.3134
SO - 0001620,WARE-XYS1001,11-02-2017,14-02-2017,Office Supplies,Online,USD,24,29,41,36,21.336,7,0.2,7.7343
SO - 0001621,WARE-XYS1001,16-04-2017,21-04-2017,Office Supplies,Online,USD,21,13,37,17,16.52,5,0.2,2.065
SO - 0001622,WARE-NMK1003,06-12-2015,11-12-2015,Furniture,In-Store,USD,14,47,134,23,206.112,6,0.2,48.9516
SO - 0001623,WARE-XYS1001,06-12-2015,11-12-2015,Office Supplies,Online,USD,2,21,20,38,19.92,5,0.2,6.723
SO - 0001624,WARE-MKL1006,06-12-2015,11-12-2015,Office Supplies,Online,USD,3,15,354,23,198.272,8,0.2,61.96
SO - 0001625,WARE-MKL1006,06-12-2015,11-12-2015,Office Supplies,Online,USD,1,47,365,20,247.104,6,0.2,-58.6872
SO - 0001626,WARE-UHY1004,06-12-2015,11-12-2015,Office Supplies,Online,USD,21,36,211,39,86.304,6,0.2,9.7092
SO - 0001627,WARE-XYS1001,22-07-2016,27-07-2016,Office Supplies,Online,USD,2,47,2,19,4.16,2,0.2,0.364
SO - 0001628,WARE-UHY1004,22-07-2016,27-07-2016,Furniture,In-Store,USD,4,25,228,3,11.648,2,0.2,3.3488
SO - 0001629,WARE-PUJ1005,07-11-2015,10-11-2015,Office Supplies,Online,USD,8,17,275,46,26.18,7,0,0.5236
SO - 0001630,WARE-NMK1003,07-11-2015,10-11-2015,Office Supplies,Online,USD,9,41,143,34,7.3,2,0,3.431
SO - 0001631,WARE-UHY1004,26-03-2015,31-03-2015,Office Supplies,Online,USD,19,4,209,17,74.352,3,0.2,23.235
SO - 0001632,WARE-NBV1002,31-08-2017,05-09-2017,Office Supplies,Online,USD,14,5,60,17,10.744,1,0.2,0.8058
SO - 0001633,WARE-UHY1004,31-08-2017,05-09-2017,Office Supplies,Online,USD,16,36,246,29,8.376,3,0.2,2.7222
SO - 0001634,WARE-NBV1002,04-12-2016,08-12-2016,Office Supplies,Online,USD,16,11,78,18,212.88,6,0,0
SO - 0001635,WARE-UHY1004,10-02-2017,14-02-2017,Furniture,In-Store,USD,4,19,218,44,203.983,2,0.15,16.7986
SO - 0001636,WARE-PUJ1005,29-10-2016,02-11-2016,Office Supplies,Online,USD,23,39,313,18,40.74,3,0,0.4074
SO - 0001637,WARE-NMK1003,29-10-2016,02-11-2016,Office Supplies,Online,USD,28,11,203,35,11.67,3,0,3.0342
SO - 0001638,WARE-MKL1006,15-09-2017,17-09-2017,Technology,Wholesale,USD,13,17,355,30,39.99,1,0,11.5971
SO - 0001639,WARE-NMK1003,15-09-2017,17-09-2017,Office Supplies,Online,USD,23,14,138,16,16.28,2,0,6.512
SO - 0001640,WARE-UHY1004,15-09-2017,17-09-2017,Furniture,In-Store,USD,23,25,230,40,782.94,3,0,203.5644
SO - 0001641,WARE-XYS1001,15-09-2017,17-09-2017,Office Supplies,Online,USD,1,49,51,23,242.48,7,0,116.3904
SO - 0001642,WARE-PUJ1005,11-03-2014,16-03-2014,Furniture,In-Store,USD,15,34,272,15,8.32,5,0.2,2.288
SO - 0001643,WARE-PUJ1005,11-03-2014,16-03-2014,Office Supplies,Online,USD,15,42,263,46,10.464,6,0.2,1.7004
SO - 0001644,WARE-PUJ1005,04-02-2014,08-02-2014,Office Supplies,Online,USD,6,24,321,11,82.896,3,0.2,29.0136
SO - 0001645,WARE-PUJ1005,04-02-2014,08-02-2014,Office Supplies,Online,USD,11,17,301,33,34.24,4,0,16.0928
SO - 0001646,WARE-UHY1004,31-12-2014,04-01-2015,Furniture,In-Store,USD,28,44,244,36,1573.488,7,0.2,196.686
SO - 0001647,WARE-NMK1003,23-11-2015,27-11-2015,Office Supplies,Online,USD,24,30,100,26,335.52,4,0.2,117.432
SO - 0001648,WARE-NMK1003,23-11-2015,27-11-2015,Office Supplies,Online,USD,11,17,167,44,23.912,2,0.8,-40.6504
SO - 0001649,WARE-UHY1004,23-11-2015,27-11-2015,Office Supplies,Online,USD,21,28,217,24,27.056,2,0.2,2.3674
SO - 0001650,WARE-XYS1001,06-07-2014,08-07-2014,Technology,Wholesale,USD,9,2,28,35,559.992,1,0.2,174.9975
SO - 0001651,WARE-XYS1001,13-11-2017,18-11-2017,Office Supplies,Online,USD,20,44,44,31,9.324,6,0.8,-24.7086
SO - 0001652,WARE-MKL1006,17-06-2016,22-06-2016,Office Supplies,Online,USD,14,23,349,36,111.96,2,0,54.8604
SO - 0001653,WARE-NMK1003,03-05-2014,05-05-2014,Office Supplies,Online,USD,16,29,94,41,21.56,7,0,10.3488
SO - 0001654,WARE-PUJ1005,16-10-2017,21-10-2017,Office Supplies,Online,USD,23,9,323,21,124.75,5,0,57.385
SO - 0001655,WARE-UHY1004,06-02-2015,13-02-2015,Office Supplies,Online,USD,13,10,213,25,5.28,3,0,1.5312
SO - 0001656,WARE-NBV1002,04-09-2017,08-09-2017,Technology,Wholesale,USD,20,31,73,27,91.96,4,0,39.5428
SO - 0001657,WARE-PUJ1005,09-05-2016,15-05-2016,Office Supplies,Online,USD,27,4,318,22,9.344,1,0.2,3.504
SO - 0001658,WARE-NBV1002,09-05-2016,15-05-2016,Office Supplies,Online,USD,21,50,79,39,79.36,5,0.2,9.92
SO - 0001659,WARE-NMK1003,16-03-2015,18-03-2015,Furniture,In-Store,USD,21,47,114,2,171.96,2,0,44.7096
SO - 0001660,WARE-XYS1001,09-04-2016,13-04-2016,Office Supplies,Online,USD,28,45,18,13,35.352,9,0.2,12.8151
SO - 0001661,WARE-NMK1003,04-04-2014,09-04-2014,Office Supplies,Online,USD,1,43,165,42,18.9,6,0,9.072
SO - 0001662,WARE-NMK1003,05-09-2017,06-09-2017,Office Supplies,Online,USD,9,48,122,11,2.78,1,0,0.7228
SO - 0001663,WARE-UHY1004,30-06-2017,30-06-2017,Furniture,In-Store,USD,4,20,228,47,1044.63,5,0.4,-295.9785
SO - 0001664,WARE-NMK1003,09-11-2015,09-11-2015,Office Supplies,Online,USD,19,43,137,1,11.352,3,0.2,4.1151
SO - 0001665,WARE-MKL1006,04-03-2014,04-03-2014,Office Supplies,Online,USD,9,20,344,46,354.9,5,0,17.745
SO - 0001666,WARE-PUJ1005,19-03-2015,25-03-2015,Technology,Wholesale,USD,8,23,269,10,453.576,3,0.2,39.6879
SO - 0001667,WARE-XYS1001,29-11-2015,30-11-2015,Technology,Wholesale,USD,20,43,24,30,21.48,3,0.2,-0.2685
SO - 0001668,WARE-NMK1003,29-11-2015,30-11-2015,Office Supplies,Online,USD,23,42,126,32,8.784,4,0.8,-13.6152
SO - 0001669,WARE-NMK1003,11-06-2017,11-06-2017,Office Supplies,Online,USD,22,32,141,23,122.97,3,0,60.2553
SO - 0001670,WARE-UHY1004,26-11-2017,30-11-2017,Office Supplies,Online,USD,18,21,210,25,12.84,3,0,3.7236
SO - 0001671,WARE-NMK1003,23-11-2014,25-11-2014,Furniture,In-Store,USD,22,7,92,20,603.92,5,0.2,-67.941
SO - 0001672,WARE-MKL1006,23-11-2014,25-11-2014,Office Supplies,Online,USD,8,34,343,23,21.84,3,0,10.4832
SO - 0001673,WARE-NMK1003,23-11-2014,25-11-2014,Technology,Wholesale,USD,14,7,153,46,29.99,1,0,6.2979
SO - 0001674,WARE-NMK1003,23-11-2014,25-11-2014,Furniture,In-Store,USD,15,1,105,27,381.44,2,0.2,23.84
SO - 0001675,WARE-MKL1006,15-12-2014,18-12-2014,Technology,Wholesale,USD,9,16,340,45,40.68,3,0.2,-9.153
SO - 0001676,WARE-UHY1004,15-12-2014,18-12-2014,Furniture,In-Store,USD,12,30,259,2,763.28,5,0.3,-21.808
SO - 0001677,WARE-MKL1006,22-04-2016,27-04-2016,Office Supplies,Online,USD,4,18,344,45,23.952,2,0.2,2.3952
SO - 0001678,WARE-NMK1003,23-05-2016,27-05-2016,Office Supplies,Online,USD,13,34,178,43,4.98,1,0,2.4402
SO - 0001679,WARE-NMK1003,27-02-2016,01-03-2016,Office Supplies,Online,USD,2,28,118,19,170.88,3,0,49.5552
SO - 0001680,WARE-PUJ1005,09-08-2015,12-08-2015,Technology,Wholesale,USD,27,15,294,25,307.98,2,0,89.3142
SO - 0001681,WARE-XYS1001,09-08-2015,12-08-2015,Furniture,In-Store,USD,15,11,24,12,382.806,9,0.4,-153.1224
SO - 0001682,WARE-XYS1001,09-08-2015,12-08-2015,Office Supplies,Online,USD,20,22,37,5,41.96,2,0,2.9372
SO - 0001683,WARE-UHY1004,09-08-2015,12-08-2015,Office Supplies,Online,USD,10,22,258,43,1217.568,2,0.2,456.588
SO - 0001684,WARE-NBV1002,09-08-2015,12-08-2015,Furniture,In-Store,USD,27,19,81,4,47.04,3,0,18.3456
SO - 0001685,WARE-NMK1003,09-08-2015,12-08-2015,Furniture,In-Store,USD,5,50,135,31,6.16,2,0,2.9568
SO - 0001686,WARE-PUJ1005,09-08-2015,12-08-2015,Technology,Wholesale,USD,6,17,283,37,979.95,5,0,274.386
SO - 0001687,WARE-NBV1002,09-08-2015,12-08-2015,Office Supplies,Online,USD,27,19,80,16,143.7,3,0,68.976
SO - 0001688,WARE-NMK1003,09-08-2015,12-08-2015,Office Supplies,Online,USD,6,49,124,29,10.65,3,0,5.0055
SO - 0001689,WARE-NMK1003,09-08-2015,12-08-2015,Technology,Wholesale,USD,13,15,103,41,247.8,4,0,34.692
SO - 0001690,WARE-NMK1003,12-05-2016,16-05-2016,Office Supplies,Online,USD,7,14,178,47,10.96,4,0,2.9592
SO - 0001691,WARE-MKL1006,15-04-2016,19-04-2016,Office Supplies,Online,USD,5,12,355,18,33.488,7,0.2,5.8604
SO - 0001692,WARE-UHY1004,15-04-2016,19-04-2016,Office Supplies,Online,USD,23,34,245,31,8.04,5,0.2,2.9145
SO - 0001693,WARE-PUJ1005,23-06-2015,25-06-2015,Technology,Wholesale,USD,28,27,306,26,201.568,4,0.2,22.6764
SO - 0001694,WARE-NMK1003,19-10-2014,19-10-2014,Office Supplies,Online,USD,23,47,173,37,13.44,3,0,6.5856
SO - 0001695,WARE-NMK1003,24-03-2015,27-03-2015,Furniture,In-Store,USD,9,23,121,34,359.058,3,0.3,-35.9058
SO - 0001696,WARE-PUJ1005,08-05-2017,12-05-2017,Furniture,In-Store,USD,1,30,319,29,47.992,2,0.3,-2.0568
SO - 0001697,WARE-UHY1004,16-10-2017,18-10-2017,Furniture,In-Store,USD,23,16,218,37,547.3,13,0,175.136
SO - 0001698,WARE-NMK1003,19-11-2017,21-11-2017,Office Supplies,Online,USD,3,9,122,47,16.896,4,0.2,5.28
SO - 0001699,WARE-NMK1003,19-11-2017,21-11-2017,Office Supplies,Online,USD,6,5,203,32,6.672,1,0.2,0.5004
SO - 0001700,WARE-XYS1001,19-11-2017,21-11-2017,Office Supplies,Online,USD,8,41,10,12,99.136,4,0.2,8.6744
SO - 0001701,WARE-PUJ1005,19-11-2017,21-11-2017,Furniture,In-Store,USD,15,24,322,31,15.992,2,0.6,-13.993
SO - 0001702,WARE-NMK1003,08-05-2016,13-05-2016,Furniture,In-Store,USD,2,23,164,17,211.96,2,0,42.392
SO - 0001703,WARE-UHY1004,11-12-2016,17-12-2016,Office Supplies,Online,USD,8,18,208,40,6.672,3,0.2,1.668
SO - 0001704,WARE-NBV1002,30-11-2017,04-12-2017,Office Supplies,Online,USD,13,3,60,13,155.94,6,0,45.2226
SO - 0001705,WARE-NBV1002,19-04-2016,24-04-2016,Technology,Wholesale,USD,1,49,70,11,39.96,5,0.2,12.987
SO - 0001706,WARE-UHY1004,19-04-2016,24-04-2016,Office Supplies,Online,USD,14,30,221,39,5.46,3,0,1.5288
SO - 0001707,WARE-XYS1001,19-04-2016,24-04-2016,Office Supplies,Online,USD,14,14,26,7,73.2,5,0,21.228
SO - 0001708,WARE-MKL1006,19-04-2016,24-04-2016,Office Supplies,Online,USD,20,24,364,23,5.84,1,0.2,1.971
SO - 0001709,WARE-MKL1006,19-04-2016,24-04-2016,Office Supplies,Online,USD,27,17,345,28,22.72,4,0,10.224
SO - 0001710,WARE-PUJ1005,19-04-2016,24-04-2016,Office Supplies,Online,USD,4,43,327,8,9.336,3,0.2,3.2676
SO - 0001711,WARE-PUJ1005,26-05-2014,30-05-2014,Furniture,In-Store,USD,24,36,313,7,290.666,2,0.15,27.3568
SO - 0001712,WARE-MKL1006,26-05-2014,30-05-2014,Technology,Wholesale,USD,1,45,349,35,201.584,2,0.2,20.1584
SO - 0001713,WARE-NMK1003,26-05-2014,30-05-2014,Technology,Wholesale,USD,1,11,141,14,83.984,2,0.2,31.494
SO - 0001714,WARE-PUJ1005,21-12-2017,25-12-2017,Office Supplies,Online,USD,6,6,309,35,1000.02,7,0,290.0058
SO - 0001715,WARE-NMK1003,15-03-2016,19-03-2016,Technology,Wholesale,USD,2,24,141,24,83.976,3,0.2,-13.6461
SO - 0001716,WARE-NMK1003,10-08-2015,16-08-2015,Office Supplies,Online,USD,12,7,166,30,3.75,1,0,1.8
SO - 0001717,WARE-PUJ1005,10-08-2015,16-08-2015,Office Supplies,Online,USD,28,8,309,1,41.4,4,0,19.872
SO - 0001718,WARE-PUJ1005,10-08-2015,16-08-2015,Office Supplies,Online,USD,2,25,302,31,29.79,3,0,12.5118
SO - 0001719,WARE-UHY1004,10-09-2016,14-09-2016,Office Supplies,Online,USD,10,42,231,36,59.48,2,0,8.922
SO - 0001720,WARE-NMK1003,10-09-2016,14-09-2016,Office Supplies,Online,USD,7,35,151,2,6.69,1,0,3.0774
SO - 0001721,WARE-XYS1001,08-07-2017,15-07-2017,Furniture,In-Store,USD,17,39,51,19,198.46,2,0,99.23
SO - 0001722,WARE-UHY1004,08-07-2017,15-07-2017,Office Supplies,Online,USD,5,3,246,1,786.48,8,0,385.3752
SO - 0001723,WARE-XYS1001,08-07-2017,15-07-2017,Office Supplies,Online,USD,18,12,49,20,23.168,2,0.2,7.8192
SO - 0001724,WARE-XYS1001,08-07-2017,15-07-2017,Technology,Wholesale,USD,24,30,1,6,50,2,0,10.5
SO - 0001725,WARE-NMK1003,19-12-2015,24-12-2015,Technology,Wholesale,USD,20,50,113,11,675.96,5,0.2,84.495
SO - 0001726,WARE-UHY1004,19-12-2015,24-12-2015,Technology,Wholesale,USD,8,40,217,26,1265.85,3,0,556.974
SO - 0001727,WARE-NMK1003,16-11-2015,22-11-2015,Office Supplies,Online,USD,26,9,128,5,523.25,5,0,141.2775
SO - 0001728,WARE-UHY1004,24-09-2015,30-09-2015,Furniture,In-Store,USD,6,31,250,27,517.5,6,0,155.25
SO - 0001729,WARE-NMK1003,21-06-2017,25-06-2017,Furniture,In-Store,USD,2,33,202,37,17.92,5,0.2,2.464
SO - 0001730,WARE-NMK1003,21-06-2017,25-06-2017,Office Supplies,Online,USD,27,47,106,20,41.256,6,0.7,-34.38
SO - 0001731,WARE-NBV1002,08-05-2016,08-05-2016,Office Supplies,Online,USD,27,26,79,4,1006.056,3,0.2,88.0299
SO - 0001732,WARE-NMK1003,08-05-2016,08-05-2016,Office Supplies,Online,USD,8,27,162,47,10.688,2,0.2,3.7408
SO - 0001733,WARE-NMK1003,08-05-2016,08-05-2016,Office Supplies,Online,USD,24,20,161,25,10.368,2,0.2,3.6288
SO - 0001734,WARE-NMK1003,08-05-2016,08-05-2016,Office Supplies,Online,USD,5,25,136,15,25.12,2,0.2,1.57
SO - 0001735,WARE-MKL1006,08-05-2016,08-05-2016,Technology,Wholesale,USD,1,41,362,8,58.112,2,0.2,7.264
SO - 0001736,WARE-NMK1003,26-11-2014,02-12-2014,Office Supplies,Online,USD,1,46,125,31,15.552,3,0.2,5.4432
SO - 0001737,WARE-NMK1003,26-11-2014,02-12-2014,Office Supplies,Online,USD,21,32,133,47,669.08,5,0.2,-167.27
SO - 0001738,WARE-MKL1006,26-11-2014,02-12-2014,Technology,Wholesale,USD,9,49,358,36,438.336,4,0.2,-87.6672
SO - 0001739,WARE-NMK1003,26-05-2016,01-06-2016,Office Supplies,Online,USD,9,8,110,28,19.44,3,0,9.3312
SO - 0001740,WARE-NMK1003,26-05-2016,01-06-2016,Office Supplies,Online,USD,7,45,97,21,9.64,2,0,4.4344
SO - 0001741,WARE-NBV1002,26-05-2016,01-06-2016,Office Supplies,Online,USD,8,48,86,41,12.7,2,0,5.842
SO - 0001742,WARE-UHY1004,26-05-2016,01-06-2016,Furniture,In-Store,USD,13,20,245,34,41.37,3,0,17.3754
SO - 0001743,WARE-NMK1003,29-11-2014,04-12-2014,Office Supplies,Online,USD,28,49,192,13,12.624,2,0.2,3.945
SO - 0001744,WARE-MKL1006,19-03-2015,20-03-2015,Office Supplies,Online,USD,7,21,343,1,1247.64,3,0,349.3392
SO - 0001745,WARE-NMK1003,19-03-2015,20-03-2015,Technology,Wholesale,USD,8,35,166,21,3149.93,7,0,1480.4671
SO - 0001746,WARE-UHY1004,19-03-2015,20-03-2015,Office Supplies,Online,USD,18,29,214,17,209.7,2,0,100.656
SO - 0001747,WARE-NMK1003,01-11-2015,03-11-2015,Technology,Wholesale,USD,4,20,117,22,35.36,2,0.2,-3.094
SO - 0001748,WARE-NBV1002,01-11-2015,03-11-2015,Office Supplies,Online,USD,1,25,66,15,3.168,2,0.2,-0.7128
SO - 0001749,WARE-XYS1001,26-09-2015,29-09-2015,Office Supplies,Online,USD,18,38,33,11,121.104,6,0.7,-100.92
SO - 0001750,WARE-PUJ1005,26-09-2015,29-09-2015,Technology,Wholesale,USD,21,34,299,12,45.894,1,0.4,-9.1788
SO - 0001751,WARE-NMK1003,29-08-2014,29-08-2014,Office Supplies,Online,USD,12,27,172,18,109.92,2,0,53.8608
SO - 0001752,WARE-NMK1003,29-08-2014,29-08-2014,Office Supplies,Online,USD,14,1,166,11,13.36,2,0,6.4128
SO - 0001753,WARE-NMK1003,18-11-2017,21-11-2017,Office Supplies,Online,USD,10,33,128,40,169.68,6,0,45.8136
SO - 0001754,WARE-XYS1001,18-11-2017,21-11-2017,Technology,Wholesale,USD,11,45,18,25,132.52,4,0,54.3332
SO - 0001755,WARE-MKL1006,18-11-2017,21-11-2017,Office Supplies,Online,USD,12,17,355,12,2.96,2,0,1.4208
SO - 0001756,WARE-UHY1004,18-11-2017,21-11-2017,Office Supplies,Online,USD,5,23,217,27,8.448,2,0.2,2.9568
SO - 0001757,WARE-NMK1003,18-11-2017,21-11-2017,Office Supplies,Online,USD,22,46,102,9,95.94,3,0,9.594
SO - 0001758,WARE-NMK1003,12-05-2014,15-05-2014,Furniture,In-Store,USD,2,27,173,32,34.79,7,0,10.7849
SO - 0001759,WARE-NMK1003,20-01-2017,26-01-2017,Technology,Wholesale,USD,23,24,123,30,160.776,3,0.2,10.0485
SO - 0001760,WARE-PUJ1005,30-10-2017,06-11-2017,Office Supplies,Online,USD,25,10,309,13,88.752,3,0.2,27.735
SO - 0001761,WARE-UHY1004,30-10-2017,06-11-2017,Office Supplies,Online,USD,3,29,260,36,13.904,2,0.2,5.214
SO - 0001762,WARE-PUJ1005,30-04-2017,06-05-2017,Technology,Wholesale,USD,20,12,325,7,677.58,5,0.4,-158.102
SO - 0001763,WARE-NBV1002,30-04-2017,06-05-2017,Office Supplies,Online,USD,5,26,77,41,13.896,3,0.7,-9.264
SO - 0001764,WARE-XYS1001,24-11-2016,26-11-2016,Office Supplies,Online,USD,1,38,41,39,41.92,5,0.2,3.668
SO - 0001765,WARE-NMK1003,24-11-2016,26-11-2016,Technology,Wholesale,USD,6,3,173,19,297.576,3,0.2,-7.4394
SO - 0001766,WARE-XYS1001,24-11-2016,26-11-2016,Office Supplies,Online,USD,9,28,46,27,4.344,3,0.2,0.8688
SO - 0001767,WARE-NBV1002,24-11-2016,26-11-2016,Technology,Wholesale,USD,25,23,58,44,94.992,2,0.2,-2.3748
SO - 0001768,WARE-NMK1003,24-11-2016,26-11-2016,Office Supplies,Online,USD,17,26,184,1,74.352,3,0.2,23.235
SO - 0001769,WARE-PUJ1005,24-11-2016,26-11-2016,Office Supplies,Online,USD,16,13,307,4,14.04,3,0.2,1.5795
SO - 0001770,WARE-UHY1004,10-01-2015,15-01-2015,Furniture,In-Store,USD,26,33,250,2,1018.104,4,0.4,-373.3048
SO - 0001771,WARE-PUJ1005,19-10-2017,26-10-2017,Technology,Wholesale,USD,3,17,284,14,16.68,3,0.2,5.2125
SO - 0001772,WARE-XYS1001,22-03-2016,25-03-2016,Technology,Wholesale,USD,4,32,20,40,58.58,2,0,19.3314
SO - 0001773,WARE-NBV1002,03-07-2017,07-07-2017,Technology,Wholesale,USD,19,42,85,5,167.968,4,0.2,62.988
